,round,fold,mse,r2
0,0,0,0.5903334550520226,0.4390525897468318
1,0,1,0.5591007311782861,0.480142207743807
2,0,2,0.4225102243877486,0.6237597662440829
3,0,3,0.39853019981350196,0.5387101725405619
4,0,4,0.3936050867572468,0.5475516777412595
